"IconId","Libelle","Sprite","Confiance","Raison"
"0","at","icon_teambuff19","fort","glyphe texte AT"
"1","df","icon_teambuff20","fort","glyphe texte DF"
"2","shot_at","icon_teambuff02","fort","comete = tir"
"3","direct_shot_at","icon_teambuff01","faible","chaussure frappant le ballon = reprise de volee"
"4","breach_rate","icon_teambuff35","moyen","double chevron vers le haut = percee"
"8","tension_breach_cost","","","non identifie"
"9","castle_wall_pierce_rate","icon_teambuff22","fort","muraille brisee"
"10","kp","icon_teambuff04","faible","parade de gardien ; concurrence 14 et 32"
"11","castle_wall_df","icon_teambuff13","fort","muraille intacte"
"12","save_rate","icon_teambuff32","faible","parade avec un plus ; concurrence 04 et 14"
"16","focus_at_df","icon_teambuff11","moyen","cible / radar = duel Focus"
"17","rough_attack_at_df","icon_teambuff28","moyen","tacle glisse"
"18","scramble_at_df","icon_teambuff12","faible","deux joueurs au duel ; concurrence bond_power"
"19","tension","icon_teambuff26","fort","glyphe texte T"
"21","tension_drain","","","non identifie"
"22","bond_power","","","non identifie ; 12 est pris par scramble"
"23","bond_power_loss","","","non identifie"
"24","special_tactics_cooldown","icon_teambuff36","moyen","chronometre"
"27","foul_rate","icon_teambuff34","moyen","joueur faute avec une croix"
"28","dash_foul_rate","icon_teambuff29","moyen","tacle avec panneau d'avertissement"
"29","drop_rate_common","icon_teambuff17","fort","bourse"
"30","drop_rate_rare","icon_teambuff18","fort","bourse avec eclat"
"31","special_move_cooldown","icon_teambuff38","faible","eclair dans une fleche circulaire = recharge"
"32","at_df","icon_teambuff30","faible","glyphe AT/DF simple ; la paire 30 / 37 est certaine, la repartition non"
"37","at_df_justice","icon_teambuff37","faible","glyphe AT/DF avec eclat ; voir 32"
